caller,loss
0x6f1d53baec701897b53ad1920fbe5a0b91e2532447c2fa422b9a3688e433f2a,152601
0x14d84f3afb1a6521a1c5ca144162d5e12160249bf92e75e904b3f33444b969e,7631
0x6ce19d5821ad6e0fb2ba520cde975094b19383e5d1be8685942693653706484,763001
0x752427aee692331bc3b107d38626ef0f03c663ad8442b312ff5babd14a147a3,76301
0x64acb7b7bc71e85f29c4d0dfe921bcda697220de53bc8b069588fd5081025e7,149000
0x3aacdb6bfeedc1a540a28225f8c19157fa34af461675c65c31cc237bfe784f0,45997336
